year,genre,rating,gross
1994,Drama,9.3,28.34
1972,Crime,9.2,134.97
2008,Action,9.0,534.86
1974,Crime,9.0,57.3
1957,Crime,9.0,4.36
2003,Action,8.9,377.85
1994,Crime,8.9,107.93
1993,Biography,8.9,96.9
2010,Action,8.8,292.58
1999,Drama,8.8,37.03
2001,Action,8.8,315.54
1994,Drama,8.8,330.25
1966,Western,8.8,6.1
2002,Action,8.7,342.55
1999,Action,8.7,171.48
1990,Biography,8.7,46.84
1980,Action,8.7,290.48
1975,Drama,8.7,112.0
2019,Comedy,8.6,53.37
2014,Adventure,8.6,188.02
2002,Crime,8.6,7.56
2001,Animation,8.6,10.06
1998,Drama,8.6,216.54
1999,Crime,8.6,136.8
1997,Comedy,8.6,57.6
1995,Crime,8.6,100.13
1991,Crime,8.6,130.74
1977,Action,8.6,322.74
1954,Action,8.6,0.27
2014,Drama,8.5,13.09
2011,Biography,8.5,13.18
2006,Drama,8.5,53.09
2006,Crime,8.5,132.38
2002,Biography,8.5,32.57
2000,Action,8.5,187.71
1998,Drama,8.5,6.72
1995,Crime,8.5,23.34
1994,Action,8.5,19.5
1994,Animation,8.5,422.78
1991,Action,8.5,204.84
1988,Drama,8.5,11.99
1985,Adventure,8.5,210.61
1968,Western,8.5,5.32
1960,Horror,8.5,32.0
1954,Mystery,8.5,36.76
1942,Drama,8.5,1.02
1936,Comedy,8.5,0.16
1931,Comedy,8.5,0.02
2018,Drama,8.4,1.66
2019,Crime,8.4,335.45
2016,Animation,8.4,5.02
2016,Action,8.4,12.39
2018,Animation,8.4,190.24
2019,Action,8.4,858.37
2018,Action,8.4,678.82
2017,Animation,8.4,209.73
2012,Drama,8.4,162.81
2012,Action,8.4,448.14
2009,Comedy,8.4,6.53
2007,Drama,8.4,1.22
2008,Animation,8.4,223.81
2006,Drama,8.4,11.29
2003,Action,8.4,0.71
2000,Mystery,8.4,25.54
1997,Animation,8.4,2.38
1984,Crime,8.4,5.32
1981,Action,8.4,248.16
1980,Drama,8.4,44.02
1979,Drama,8.4,83.47
1979,Horror,8.4,78.9
1964,Comedy,8.4,0.28
1957,Crime,8.4,8.18
1940,Comedy,8.4,0.29
2019,Comedy,8.3,0.9
2019,Drama,8.3,159.23
2012,Drama,8.3,0.69
2011,Drama,8.3,7.1
2010,Drama,8.3,6.86
2009,Adventure,8.3,120.54
2004,Drama,8.3,34.4
2001,Comedy,8.3,33.23
2000,Comedy,8.3,30.33
2000,Drama,8.3,3.64
1999,Drama,8.3,130.1
1997,Drama,8.3,138.43
1997,Drama,8.3,0.93
1995,Animation,8.3,191.8
1995,Biography,8.3,75.6
1992,Crime,8.3,2.83
1987,Drama,8.3,46.36
1986,Action,8.3,85.16
1984,Biography,8.3,51.97
1983,Crime,8.3,45.6
1983,Action,8.3,309.13
1981,Adventure,8.3,11.49
1976,Crime,8.3,28.26
1973,Comedy,8.3,159.6
1971,Crime,8.3,6.21
1968,Adventure,8.3,56.95
1962,Adventure,8.3,44.82
1960,Comedy,8.3,18.6
1959,Adventure,8.3,13.28
1958,Mystery,8.3,3.2
1952,Comedy,8.3,8.82
1952,Drama,8.3,0.06
1948,Drama,8.3,0.33
1944,Crime,8.3,5.72
1941,Drama,8.3,1.59
1931,Crime,8.3,0.03
1927,Drama,8.3,1.24
1921,Comedy,8.3,5.45
2018,Action,8.2,4.19
2018,Crime,8.2,1.37
2018,Biography,8.2,85.08
2015,Crime,8.2,0.34
2017,Action,8.2,20.19
2015,Crime,8.2,0.74
2013,Adventure,8.2,1.43
2013,Drama,8.2,0.14
2013,Biography,8.2,1.63
2012,Action,8.2,0.04
2011,Comedy,8.2,3.11
2009,Drama,8.2,6.39
2010,Mystery,8.2,128.01
2009,Animation,8.2,293.0
2013,Biography,8.2,116.9
2007,Drama,8.2,1.11
2007,Drama,8.2,40.22
2006,Drama,8.2,37.63
2010,Animation,8.2,415.0
2005,Drama,8.2,0.73
2005,Action,8.2,206.85
2004,Drama,8.2,1.22
2004,Biography,8.2,5.51
2004,Animation,8.2,4.71
2001,Biography,8.2,170.74
1998,Action,8.2,3.9
1997,Crime,8.2,64.62
1995,Crime,8.2,67.44
1995,Crime,8.2,42.44
1992,Drama,8.2,101.16
1989,Action,8.2,197.17
1988,Comedy,8.2,0.28
1988,Animation,8.2,1.11
1988,Action,8.2,83.01
1985,Action,8.2,4.14
1980,Biography,8.2,23.38
1975,Adventure,8.2,1.23
1974,Drama,8.2,8.49
1965,Western,8.2,15.0
1963,Adventure,8.2,12.1
1959,Comedy,8.2,25.0
1954,Crime,8.2,0.01
1950,Crime,8.2,0.1
1950,Drama,8.2,0.01
1948,Adventure,8.2,5.01
1925,Adventure,8.2,5.45
1924,Action,8.2,0.98
2019,Drama,8.1,3.76
2016,Crime,8.1,1.24
2017,Comedy,8.1,54.51
2016,Drama,8.1,2.01
2014,Drama,8.1,3.49
2014,Action,8.1,0.9
2017,Action,8.1,226.28
2015,Drama,8.1,14.68
2014,Comedy,8.1,3.11
2014,Drama,8.1,0.17
2014,Comedy,8.1,10.62
2012,Comedy,8.1,0.92
2014,Adventure,8.1,59.1
2014,Drama,8.1,167.77
2016,Biography,8.1,67.21
2015,Animation,8.1,356.46
2012,Comedy,8.1,2.8
2013,Biography,8.1,56.67
2013,Action,8.1,26.95
2019,Action,8.1,117.62
2015,Biography,8.1,45.06
2014,Animation,8.1,0.86
2012,Mystery,8.1,1.04
2010,Drama,8.1,0.01
2013,Crime,8.1,61.0
2015,Action,8.1,154.06
2011,Action,8.1,13.66
2008,Drama,8.1,148.1
2011,Adventure,8.1,381.01
2008,Drama,8.1,1.5
2010,Animation,8.1,217.58
2007,Adventure,8.1,18.35
2007,Crime,8.1,74.28
2005,Action,8.1,70.51
2004,Drama,8.1,0.68
2006,Comedy,8.1,2.2
2004,Drama,8.1,100.49
2004,Biography,8.1,23.53
2004,Drama,8.1,5.82
2003,Crime,8.1,0.01
2001,Comedy,8.1,0.3
2003,Action,8.1,70.1
2003,Animation,8.1,380.84
2002,Biography,8.1,164.62
2000,Drama,8.1,5.38
2001,Animation,8.1,289.92
2001,Drama,8.1,0.07
1999,Drama,8.1,293.51
1998,Drama,8.1,1.65
1998,Drama,8.1,0.26
1998,Comedy,8.1,125.62
1998,Comedy,8.1,0.35
1998,Comedy,8.1,17.5
2000,Drama,8.1,2.73
1996,Drama,8.1,16.5
1996,Crime,8.1,24.61
1995,Comedy,8.1,0.17
1995,Crime,8.1,0.31
1995,Drama,8.1,5.54
1994,Drama,8.1,4.04
1994,Comedy,8.1,0.6
1993,Action,8.1,402.45
1993,Biography,8.1,25.01
1993,Drama,8.1,5.22
1991,Drama,8.1,2.6
1989,Comedy,8.1,95.86
1987,Adventure,8.1,30.86
1986,Adventure,8.1,52.29
1986,Drama,8.1,138.53
1986,Drama,8.1,0.3
1984,Drama,8.1,2.18
1984,Animation,8.1,0.5
1982,Horror,8.1,13.78
1982,Drama,8.1,4.97
1982,Action,8.1,32.87
1979,Drama,8.1,0.23
1979,Comedy,8.1,20.05
1978,Drama,8.1,48.98
1976,Drama,8.1,117.24
1975,Biography,8.1,0.18
1973,Comedy,8.1,30.93
1972,Drama,8.1,1.74
1967,Crime,8.1,0.04
1967,Crime,8.1,16.22
1966,Biography,8.1,0.1
1966,Drama,8.1,0.06
1962,Drama,8.1,4.05
1960,Drama,8.1,1.53
1959,Adventure,8.1,74.7
1957,Drama,8.1,0.75
